zone,level,sections,section_count,where_it_is,typical_rows,entry_row
not named by the source,Lower Bowl (100 level),101-125,25,"""along the 3rd base line"" (aviewfrommyseat.com section tag)",12 different row ranges - see the section table,UNKNOWN
not named by the source,Club and Suite Level (200 level),200-201,2,"""outfield"" (aviewfrommyseat.com section tag)",2 different row ranges - see the section table,UNKNOWN
club,Club and Suite Level (200 level),202-206,5,"""along the 1st base line"" and ""behind away team dugout"" (aviewfrommyseat.com section tags)",2 different row ranges - see the section table,UNKNOWN
not named by the source,"Clubs, suites and other named areas","A, B, Beer Garden, C, D, Dugout Club B, Dugout Club C, Dugout Club D, Home Run Hill, Lawn, Legacy Club, Party Suite, Press Box, Senate 104, Senate 105, Senate 106, Senate 107, Senate 108, Senate 109, Senate 110, Senate 111, Suite 1-35",22,not stated by the source,UNKNOWN,UNKNOWN
